	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000242349.5	6	0	1	0	2	0	2	0
ENSG00000276470.1	0	0	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0	0	0
ENSG00000175206.10	0	0	0	0	0	0	0	0
ENSG00000275915.1	0	0	0	0	0	0	0	0
ENSG00000120937.8	0	0	0	0	0	0	0	0
ENSG00000224904.1	1	0	0	0	2	0	1	0
ENSG00000199347.1	148	1780	125	1731	315	7475	261	13093
ENSG00000201801.1	14	522	9	484	30	2449	31	2689
ENSG00000116685.15	546	28	433	52	346	48	292	65
ENSG00000083444.16	3570	581	4017	799	2849	1718	3753	1490
ENSG00000116688.16	2124	286	1887	444	2075	1219	2026	1243
ENSG00000270914.1	0	0	0	1	0	0	0	0
ENSG00000116691.10	255	28	190	60	199	67	267	71
ENSG00000202461.1	0	0	0	0	0	0	0	0
ENSG00000276869.1	2	0	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	1	0	0	0
ENSG00000120949.14	4	0	2	1	2	0	5	0
ENSG00000201135.1	0	0	0	0	0	0	0	0
ENSG00000227875.2	14	8	11	0	9	13	22	3
ENSG00000283789.1	0	0	0	0	0	0	0	0
ENSG00000028137.18	1	0	4	0	11	1	7	0
ENSG00000263676.1	0	0	0	0	0	0	0	0
ENSG00000225196.2	7	0	9	0	10	4	19	1
ENSG00000252969.1	0	0	0	0	0	0	0	0
ENSG00000048707.13	795	144	782	203	719	434	652	592
ENSG00000239149.1	0	0	0	0	0	0	0	0
ENSG00000229484.1	0	0	0	0	0	0	0	0
ENSG00000162496.8	501	92	408	109	215	191	256	209
ENSG00000221340.1	0	0	1	0	0	0	0	0
ENSG00000276830.1	1	0	0	0	0	0	0	0
ENSG00000272482.1	3	7	5	13	4	4	4	1
ENSG00000204518.2	0	0	0	0	0	0	0	0
ENSG00000226166.2	1	0	1	0	1	1	1	0
ENSG00000188984.11	0	0	0	0	0	0	0	0
ENSG00000157330.9	0	0	1	0	0	0	0	0
ENSG00000116726.4	0	0	0	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0	0	0	0
ENSG00000179172.9	0	0	0	0	0	0	0	0
ENSG00000120952.4	0	0	0	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0	0	0	0
ENSG00000277058.2	0	0	0	0	0	0	0	0
ENSG00000229571.7	0	0	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0	0	0
ENSG00000275774.2	0	0	0	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0	0	0
ENSG00000179412.10	0	0	0	0	0	0	0	0
ENSG00000204505.4	0	0	0	0	0	0	0	0
ENSG00000279169.2	0	0	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	1	0	0	0
ENSG00000204501.7	0	0	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0	0	0
ENSG00000204481.7	0	0	1	0	0	0	0	0
ENSG00000204480.7	0	0	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0	0	0
ENSG00000204478.9	0	0	0	0	0	0	0	0
ENSG00000162494.5	33	3	25	6	2	2	3	1
ENSG00000259961.1	0	0	1	0	0	0	0	0
ENSG00000215909.3	2	2	0	0	1	1	0	4
ENSG00000162493.16	1	0	1	0	1	0	0	0
ENSG00000222952.1	0	0	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0	0	0
ENSG00000116731.22	435	45	411	76	385	91	299	120
ENSG00000189337.16	58	0	32	3	28	13	17	2
ENSG00000252151.1	0	0	0	0	0	0	0	0
ENSG00000231606.1	0	0	0	0	0	0	0	0
ENSG00000234593.2	1	0	0	0	0	0	0	0
ENSG00000235829.1	1	0	0	3	7	3	5	10
ENSG00000175147.11	8	1	8	0	4	0	5	0
